car_id,x,y,status,ticks_traveled,distance_to_dest,speed,tick,local_congestion
0,17,14,moving,1,15,1,0,0.0
1,1,3,moving,1,16,1,0,0.0
2,8,3,moving,1,16,1,0,0.0
3,2,5,moving,1,8,1,0,0.0
4,5,0,moving,1,5,1,0,0.0
5,18,5,moving,1,11,2,0,0.0
6,1,10,moving,1,20,1,0,0.0
7,16,13,moving,1,15,1,0,0.0
8,11,18,moving,1,10,1,0,0.0
9,11,3,moving,1,15,1,0,0.0
10,15,19,moving,1,6,1,0,0.0
11,10,17,moving,1,23,1,0,0.0
12,6,16,moving,1,6,1,0,0.0
13,4,9,moving,1,23,1,0,0.0
14,3,14,moving,1,10,1,0,0.0
15,0,8,moving,1,24,1,0,0.0
16,1,6,moving,1,7,1,0,0.0
17,0,8,moving,1,7,1,0,0.0
18,8,8,moving,1,4,1,0,0.0
19,5,7,moving,1,16,1,0,0.0
20,15,6,moving,1,19,1,0,0.0
21,16,17,moving,1,4,1,0,1.0
22,10,15,moving,1,10,1,0,0.0
23,7,5,moving,1,1,2,0,0.0
24,5,4,moving,1,9,1,0,0.0
25,7,18,moving,1,7,1,0,0.0
26,17,12,moving,1,16,1,0,0.0
27,13,5,moving,1,10,1,0,0.0
28,17,17,moving,1,3,1,0,1.0
29,13,14,moving,1,8,1,0,0.0
30,5,7,moving,1,16,1,0,0.0
31,5,7,moving,1,7,1,0,0.0
32,6,3,moving,1,9,1,0,0.0
33,18,5,moving,1,4,1,0,0.0
34,1,0,moving,1,14,1,0,0.0
35,13,13,moving,1,6,1,0,0.0
36,5,15,moving,1,13,1,0,0.0
37,10,6,moving,1,9,2,0,0.0
38,3,8,moving,1,14,1,0,0.0
39,15,6,moving,1,9,1,0,0.0
40,11,2,moving,1,22,1,0,2.0
41,4,5,moving,1,8,2,0,0.0
42,9,12,moving,1,15,1,0,1.0
43,7,15,moving,1,6,1,0,0.0
44,13,10,moving,1,9,1,0,0.0
45,17,11,moving,1,9,1,0,0.0
46,18,3,moving,1,31,1,0,0.0
47,11,15,moving,1,4,1,0,0.0
48,10,18,moving,1,16,1,0,0.0
49,2,14,moving,1,26,1,0,0.0
50,7,4,moving,1,9,1,0,0.0
51,15,8,moving,1,23,1,0,0.0
52,4,9,moving,1,9,1,0,0.0
53,1,5,moving,1,22,1,0,0.0
54,10,9,moving,1,10,2,0,0.0
55,19,14,moving,1,14,1,0,0.0
56,8,12,moving,1,5,1,0,0.0
57,18,3,moving,1,11,1,0,0.0
58,12,2,moving,1,19,1,0,1.0
59,9,5,moving,1,19,1,0,0.0
60,10,12,moving,1,6,2,0,0.0
61,13,12,moving,1,1,1,0,0.0
62,7,11,moving,1,21,1,0,0.0
63,1,19,moving,1,1,1,0,1.0
64,1,3,moving,1,8,1,0,0.0
65,15,5,moving,1,6,2,0,1.0
66,4,15,moving,1,19,1,0,0.0
67,8,13,moving,1,14,1,0,0.0
68,10,12,moving,1,19,1,0,0.0
69,17,19,moving,1,17,1,0,0.0
70,3,2,moving,1,7,1,0,0.0
71,4,13,moving,1,10,1,0,0.0
72,8,0,moving,1,9,1,0,0.0
73,0,13,moving,1,10,1,0,0.0
74,4,17,moving,1,8,1,0,0.0
75,13,5,moving,1,11,2,0,0.0
76,5,15,moving,1,11,1,0,0.0
77,5,10,moving,1,9,1,0,0.0
78,13,12,moving,1,11,1,0,0.0
79,4,13,moving,1,13,1,0,0.0
80,6,8,moving,1,1,1,0,0.0
81,10,6,moving,1,12,2,0,0.0
82,10,14,moving,1,2,1,0,0.0
83,5,18,moving,1,7,1,0,0.0
84,4,0,moving,1,24,1,0,1.0
85,14,0,moving,1,16,1,0,0.0
86,14,14,moving,1,3,1,0,0.0
87,17,17,moving,1,22,1,0,1.0
88,2,14,moving,1,20,1,0,0.0
89,11,14,moving,1,15,1,0,1.0
90,4,9,moving,1,8,1,0,0.0
91,2,19,moving,1,24,1,0,1.0
92,14,7,moving,1,15,1,0,0.0
93,2,9,moving,1,16,1,0,0.0
94,5,9,moving,1,5,1,0,0.0
95,14,1,moving,1,11,1,0,0.0
96,4,10,moving,1,11,1,0,1.0
97,15,6,moving,1,11,2,0,0.0
98,2,14,moving,1,24,1,0,0.0
99,3,18,moving,1,24,1,0,0.0
0,17,13,moving,2,14,1,1,0.0
1,1,4,moving,2,15,1,1,0.0
2,9,3,moving,2,15,1,1,0.0
3,3,5,moving,2,7,1,1,0.0
4,6,0,moving,2,4,1,1,0.0
5,19,5,moving,2,10,2,1,0.0
6,2,10,moving,2,19,1,1,0.0
7,16,12,moving,2,14,1,1,0.0
8,11,17,moving,2,9,1,1,0.0
9,11,4,moving,2,14,1,1,0.0
10,15,18,moving,2,5,1,1,0.0
11,10,16,moving,2,22,1,1,0.0
12,6,15,moving,2,5,1,1,0.0
13,5,9,moving,2,22,1,1,1.0
14,3,13,moving,2,9,1,1,0.0
15,1,8,moving,2,23,1,1,0.0
16,1,5,moving,2,6,1,1,1.0
17,0,7,moving,2,6,1,1,0.0
18,9,8,moving,2,3,1,1,0.0
19,5,6,moving,2,15,1,1,0.0
20,15,7,moving,2,18,1,1,0.0
21,15,17,moving,2,3,1,1,0.0
22,10,14,moving,2,9,1,1,1.0
23,7,4,arrived,2,0,2,1,1.0
24,5,5,moving,2,8,1,1,0.0
25,8,18,moving,2,6,1,1,0.0
26,16,12,moving,2,15,1,1,0.0
27,12,5,moving,2,9,1,1,0.0
28,18,17,moving,2,2,1,1,0.0
29,13,13,moving,2,7,1,1,1.0
30,6,7,moving,2,15,1,1,0.0
31,4,7,moving,2,6,1,1,0.0
32,7,3,moving,2,8,1,1,0.0
33,18,4,moving,2,3,1,1,0.0
34,1,1,moving,2,13,1,1,0.0
35,13,12,moving,2,5,1,1,2.0
36,5,14,moving,2,12,1,1,0.0
37,10,7,moving,2,8,2,1,0.0
38,3,9,moving,2,13,1,1,0.0
39,15,5,moving,2,8,1,1,1.0
40,11,3,moving,2,21,1,1,1.0
41,5,5,moving,2,7,2,1,0.0
42,9,11,moving,2,14,1,1,0.0
43,8,15,moving,2,5,1,1,0.0
44,12,10,moving,2,8,1,1,0.0
45,17,12,moving,2,8,1,1,1.0
46,18,4,moving,2,30,1,1,0.0
47,10,15,moving,2,3,1,1,1.0
